Group 1 Histogram,Group 2 Histogram,Group 3 Histogram,Group ,Color,Inducted,Count,Average WAR,Average Vote percentage
12.5,8.05,7.92,1,0,1,18,77.96,85.38
0,2.73,2.72,1,0,0,732,38.19,13.44
0,1.35,3.19,1,1,1,4,79.85,83.25
0,4.84,2.26,1,1,0,28,40.27,25
0,5.63,3.67,2,0,1,18,76.07,87.5
3.125,2.73,3.44,2,0,0,540,38.75,12.883
0,7.14,6.38,2,1,1,12,78.78,85.66
0,4.16,3.44,2,1,0,137,47.71,21.09
0,3.44,3.44,3,0,1,19,72.17,86.05
0,4.16,2.04,3,0,0,337,44.76,15.57
3.125,3.44,3.44,3,1,1,18,69.7,85.77
0,4.16,3.44,3,1,0,209,47.27,18.49
0,1.35,2.74,,,,,,
0,2.04,3.44,,,,,,
0,1.35,2.74,,,,,,
3.125,4.89,3.19,,,,,,
0,3.44,2.26,,,,,,
0,1.35,3.67,,,,,,
0,2.73,3.44,,,,,,
0,1.35,6.38,,,,,,
3.125,4.84,3.44,,,,,,
0,5.63,3.44,,,,,,
0,2.73,2.04,,,,,,
0,7.14,3.44,,,,,,
0,4.16,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.74,,,,,,
0,4.16,2.72,,,,,,
0,1.35,3.19,,,,,,
3.125,2.04,2.26,,,,,,
0,1.35,3.67,,,,,,
0,4.89,3.44,,,,,,
0,3.44,6.38,,,,,,
0,1.35,3.44,,,,,,
3.125,2.73,3.44,,,,,,
0,1.35,2.04,,,,,,
0,4.84,3.44,,,,,,
0,5.63,3.44,,,,,,
0,2.73,2.74,,,,,,
3.125,7.14,3.44,,,,,,
0,4.16,2.74,,,,,,
0,3.44,2.72,,,,,,
0,4.16,3.19,,,,,,
0,3.44,2.26,,,,,,
3.125,4.16,3.67,,,,,,
0,1.35,3.44,,,,,,
0,2.04,6.38,,,,,,
0,1.35,3.44,,,,,,
0,4.89,3.44,,,,,,
3.125,3.44,2.04,,,,,,
0,1.35,3.44,,,,,,
0,2.73,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.84,3.44,,,,,,
3.125,5.63,2.74,,,,,,
0,2.73,2.72,,,,,,
0,7.14,3.19,,,,,,
0,4.16,2.26,,,,,,
0,3.44,3.67,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,6.38,,,,,,
0,4.16,3.44,,,,,,
0,1.35,3.44,,,,,,
0,2.04,2.04,,,,,,
3.125,1.35,3.44,,,,,,
0,4.89,3.44,,,,,,
0,3.44,2.74,,,,,,
0,1.35,3.44,,,,,,
0,2.73,2.74,,,,,,
3.125,1.35,2.72,,,,,,
0,4.84,3.19,,,,,,
0,5.63,2.26,,,,,,
0,2.73,3.67,,,,,,
0,7.14,3.44,,,,,,
3.125,4.16,6.38,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.04,,,,,,
0,4.16,3.44,,,,,,
3.125,1.35,3.44,,,,,,
0,2.04,2.74,,,,,,
0,1.35,3.44,,,,,,
0,4.89,2.74,,,,,,
0,3.44,2.72,,,,,,
3.125,1.35,3.19,,,,,,
0,2.73,2.26,,,,,,
0,1.35,3.67,,,,,,
0,4.84,3.44,,,,,,
0,5.63,6.38,,,,,,
3.125,2.73,3.44,,,,,,
0,7.14,3.44,,,,,,
0,4.16,2.04,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,4.16,3.44,,,,,,
0,1.35,2.74,,,,,,
0,2.04,2.72,,,,,,
0,1.35,3.19,,,,,,
3.125,4.89,2.26,,,,,,
0,3.44,3.67,,,,,,
0,1.35,3.44,,,,,,
0,2.73,6.38,,,,,,
0,1.35,3.44,,,,,,
3.125,4.84,3.44,,,,,,
0,5.63,2.04,,,,,,
0,2.73,3.44,,,,,,
0,7.14,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
0,3.44,2.72,,,,,,
0,4.16,3.19,,,,,,
0,1.35,2.26,,,,,,
3.125,2.04,3.67,,,,,,
0,1.35,3.44,,,,,,
0,4.89,6.38,,,,,,
0,3.44,3.44,,,,,,
0,1.35,3.44,,,,,,
3.125,2.73,2.04,,,,,,
0,1.35,3.44,,,,,,
0,4.84,3.44,,,,,,
0,5.63,2.74,,,,,,
0,2.73,3.44,,,,,,
3.125,7.14,2.74,,,,,,
0,4.16,2.72,,,,,,
0,3.44,3.19,,,,,,
0,4.16,2.26,,,,,,
0,3.44,3.67,,,,,,
3.125,4.16,3.44,,,,,,
0,1.35,6.38,,,,,,
0,2.04,3.44,,,,,,
0,1.35,3.44,,,,,,
0,4.89,2.04,,,,,,
3.125,3.44,3.44,,,,,,
0,1.35,3.44,,,,,,
0,2.73,2.74,,,,,,
0,1.35,3.44,,,,,,
0,4.84,2.74,,,,,,
3.125,5.63,2.72,,,,,,
0,2.73,3.19,,,,,,
0,7.14,2.26,,,,,,
0,4.16,3.67,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,6.38,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
0,1.35,2.04,,,,,,
0,2.04,3.44,,,,,,
3.125,1.35,3.44,,,,,,
0,4.89,2.74,,,,,,
0,3.44,3.44,,,,,,
0,1.35,2.74,,,,,,
0,2.73,2.72,,,,,,
3.125,1.35,3.19,,,,,,
0,4.84,2.26,,,,,,
0,5.63,3.67,,,,,,
0,2.73,3.44,,,,,,
0,7.14,6.38,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.04,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
3.125,1.35,2.74,,,,,,
0,2.04,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.89,2.72,,,,,,
0,3.44,3.19,,,,,,
3.125,1.35,2.26,,,,,,
0,2.73,3.67,,,,,,
0,1.35,3.44,,,,,,
0,4.84,6.38,,,,,,
0,5.63,3.44,,,,,,
3.125,2.73,3.44,,,,,,
0,7.14,2.04,,,,,,
0,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
0,1.35,2.72,,,,,,
0,2.04,3.19,,,,,,
0,1.35,2.26,,,,,,
3.125,4.89,3.67,,,,,,
0,3.44,3.44,,,,,,
0,1.35,6.38,,,,,,
0,2.73,3.44,,,,,,
0,1.35,3.44,,,,,,
3.125,4.84,2.04,,,,,,
0,5.63,3.44,,,,,,
0,2.73,3.44,,,,,,
0,7.14,2.74,,,,,,
0,4.16,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,4.16,2.72,,,,,,
0,3.44,3.19,,,,,,
0,4.16,2.26,,,,,,
0,1.35,3.67,,,,,,
3.125,2.04,3.44,,,,,,
0,1.35,6.38,,,,,,
0,4.89,3.44,,,,,,
0,3.44,3.44,,,,,,
0,1.35,2.04,,,,,,
3.125,2.73,3.44,,,,,,
0,1.35,3.44,,,,,,
0,4.84,2.74,,,,,,
0,5.63,3.44,,,,,,
0,2.73,2.74,,,,,,
3.125,7.14,2.72,,,,,,
0,4.16,3.19,,,,,,
0,3.44,2.26,,,,,,
0,4.16,3.67,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,6.38,,,,,,
0,1.35,3.44,,,,,,
0,2.04,3.44,,,,,,
0,1.35,2.04,,,,,,
0,4.89,3.44,,,,,,
3.125,3.44,3.44,,,,,,
0,1.35,2.74,,,,,,
0,2.73,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.84,2.72,,,,,,
3.125,5.63,3.19,,,,,,
0,2.73,2.26,,,,,,
0,7.14,3.67,,,,,,
0,4.16,3.44,,,,,,
0,3.44,6.38,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.04,,,,,,
0,1.35,3.44,,,,,,
0,2.04,3.44,,,,,,
3.125,1.35,2.74,,,,,,
0,4.89,3.44,,,,,,
0,3.44,2.74,,,,,,
0,1.35,2.72,,,,,,
0,2.73,3.19,,,,,,
3.125,1.35,2.26,,,,,,
0,4.84,3.67,,,,,,
0,5.63,3.44,,,,,,
0,2.73,6.38,,,,,,
0,7.14,3.44,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,2.04,,,,,,
0,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,1.35,3.44,,,,,,
0,2.04,2.74,,,,,,
0,1.35,2.72,,,,,,
0,4.89,3.19,,,,,,
0,3.44,2.26,,,,,,
3.125,1.35,3.67,,,,,,
0,2.73,3.44,,,,,,
0,1.35,6.38,,,,,,
0,4.84,3.44,,,,,,
0,5.63,3.44,,,,,,
3.125,2.73,2.04,,,,,,
0,7.14,3.44,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.74,,,,,,
0,4.16,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,4.16,2.72,,,,,,
0,1.35,3.19,,,,,,
0,2.04,2.26,,,,,,
0,1.35,3.67,,,,,,
3.125,4.89,3.44,,,,,,
0,3.44,6.38,,,,,,
0,1.35,3.44,,,,,,
0,2.73,3.44,,,,,,
0,1.35,2.04,,,,,,
3.125,4.84,3.44,,,,,,
0,5.63,3.44,,,,,,
0,2.73,2.74,,,,,,
0,7.14,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,3.44,2.72,,,,,,
0,4.16,3.19,,,,,,
0,3.44,2.26,,,,,,
0,4.16,3.67,,,,,,
0,1.35,3.44,,,,,,
3.125,2.04,6.38,,,,,,
0,1.35,3.44,,,,,,
0,4.89,3.44,,,,,,
0,3.44,2.04,,,,,,
0,1.35,3.44,,,,,,
3.125,2.73,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.84,3.44,,,,,,
0,5.63,2.74,,,,,,
0,2.73,2.72,,,,,,
3.125,7.14,3.19,,,,,,
0,4.16,2.26,,,,,,
0,3.44,3.67,,,,,,
0,4.16,3.44,,,,,,
0,3.44,6.38,,,,,,
3.125,4.16,3.44,,,,,,
0,1.35,3.44,,,,,,
0,2.04,2.04,,,,,,
0,1.35,3.44,,,,,,
0,4.89,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,1.35,3.44,,,,,,
0,2.73,2.74,,,,,,
0,1.35,2.72,,,,,,
0,4.84,3.19,,,,,,
3.125,5.63,2.26,,,,,,
0,2.73,3.67,,,,,,
0,7.14,3.44,,,,,,
0,4.16,6.38,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,2.04,,,,,,
0,4.16,3.44,,,,,,
0,1.35,3.44,,,,,,
0,2.04,2.74,,,,,,
3.125,1.35,3.44,,,,,,
0,4.89,2.74,,,,,,
0,3.44,2.72,,,,,,
0,1.35,3.19,,,,,,
0,2.73,2.26,,,,,,
3.125,1.35,3.67,,,,,,
0,4.84,3.44,,,,,,
0,5.63,6.38,,,,,,
0,2.73,3.44,,,,,,
0,7.14,3.44,,,,,,
3.125,4.16,2.04,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.74,,,,,,
0,4.16,3.44,,,,,,
3.125,1.35,2.74,,,,,,
0,2.04,2.72,,,,,,
0,1.35,3.19,,,,,,
0,4.89,2.26,,,,,,
0,3.44,3.67,,,,,,
3.125,1.35,3.44,,,,,,
0,2.73,6.38,,,,,,
0,1.35,3.44,,,,,,
0,4.84,3.44,,,,,,
0,5.63,2.04,,,,,,
3.125,2.73,3.44,,,,,,
0,7.14,3.44,,,,,,
0,4.16,2.74,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,3.44,2.72,,,,,,
0,4.16,3.19,,,,,,
0,1.35,2.26,,,,,,
0,2.04,3.67,,,,,,
0,1.35,3.44,,,,,,
3.125,4.89,6.38,,,,,,
0,3.44,3.44,,,,,,
0,1.35,3.44,,,,,,
0,2.73,2.04,,,,,,
0,1.35,3.44,,,,,,
3.125,4.84,3.44,,,,,,
0,5.63,2.74,,,,,,
0,2.73,3.44,,,,,,
0,7.14,2.74,,,,,,
0,4.16,2.72,,,,,,
3.125,3.44,3.19,,,,,,
0,4.16,2.26,,,,,,
0,3.44,3.67,,,,,,
0,4.16,3.44,,,,,,
0,1.35,6.38,,,,,,
3.125,2.04,3.44,,,,,,
0,1.35,3.44,,,,,,
0,4.89,2.04,,,,,,
0,3.44,3.44,,,,,,
0,1.35,3.44,,,,,,
3.125,2.73,2.74,,,,,,
0,1.35,3.44,,,,,,
0,4.84,2.74,,,,,,
0,5.63,2.72,,,,,,
0,2.73,3.19,,,,,,
3.125,7.14,2.26,,,,,,
0,4.16,3.67,,,,,,
0,3.44,3.44,,,,,,
0,4.16,6.38,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,3.44,,,,,,
0,1.35,2.04,,,,,,
0,2.04,3.44,,,,,,
0,1.35,3.44,,,,,,
0,4.89,2.74,,,,,,
3.125,3.44,3.44,,,,,,
0,1.35,2.74,,,,,,
0,2.73,2.72,,,,,,
0,1.35,3.19,,,,,,
0,4.84,2.26,,,,,,
3.125,5.63,3.67,,,,,,
0,2.73,3.44,,,,,,
0,7.14,6.38,,,,,,
0,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,2.04,,,,,,
0,3.44,3.44,,,,,,
0,4.16,3.44,,,,,,
0,1.35,2.74,,,,,,
0,2.04,3.44,,,,,,
3.125,1.35,2.74,,,,,,
0,4.89,2.72,,,,,,
0,3.44,3.19,,,,,,
0,1.35,2.26,,,,,,
0,2.73,3.67,,,,,,
3.125,1.35,3.44,,,,,,
0,4.84,6.38,,,,,,
0,5.63,3.44,,,,,,
0,2.73,3.44,,,,,,
0,7.14,2.04,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
3.125,1.35,2.72,,,,,,
0,2.04,3.19,,,,,,
0,1.35,2.26,,,,,,
0,4.89,3.67,,,,,,
0,3.44,3.44,,,,,,
3.125,1.35,6.38,,,,,,
0,2.73,3.44,,,,,,
0,1.35,3.44,,,,,,
0,4.84,2.04,,,,,,
0,5.63,3.44,,,,,,
3.125,2.73,3.44,,,,,,
0,7.14,2.74,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.74,,,,,,
0,4.16,2.72,,,,,,
3.125,3.44,3.19,,,,,,
0,4.16,2.26,,,,,,
0,1.35,3.67,,,,,,
0,2.04,3.44,,,,,,
0,1.35,6.38,,,,,,
3.125,4.89,3.44,,,,,,
0,3.44,3.44,,,,,,
0,1.35,2.04,,,,,,
0,2.73,3.44,,,,,,
0,1.35,3.44,,,,,,
3.125,4.84,2.74,,,,,,
0,5.63,3.44,,,,,,
0,2.73,2.74,,,,,,
0,7.14,2.72,,,,,,
0,4.16,3.19,,,,,,
3.125,3.44,2.26,,,,,,
0,4.16,3.67,,,,,,
0,3.44,3.44,,,,,,
0,4.16,6.38,,,,,,
0,1.35,3.44,,,,,,
3.125,2.04,3.44,,,,,,
0,1.35,2.04,,,,,,
0,4.89,3.44,,,,,,
0,3.44,3.44,,,,,,
0,1.35,2.74,,,,,,
3.125,2.73,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.84,2.72,,,,,,
0,5.63,3.19,,,,,,
0,2.73,2.26,,,,,,
3.125,7.14,3.67,,,,,,
0,4.16,3.44,,,,,,
0,3.44,6.38,,,,,,
0,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
3.125,4.16,2.04,,,,,,
0,1.35,3.44,,,,,,
0,2.04,3.44,,,,,,
0,1.35,2.74,,,,,,
0,4.89,3.44,,,,,,
3.125,3.44,2.74,,,,,,
0,1.35,2.72,,,,,,
0,2.73,3.19,,,,,,
0,1.35,2.26,,,,,,
0,4.84,3.67,,,,,,
3.125,5.63,3.44,,,,,,
0,2.73,6.38,,,,,,
0,7.14,3.44,,,,,,
0,4.16,3.44,,,,,,
0,3.44,2.04,,,,,,
3.125,4.16,3.44,,,,,,
0,3.44,3.44,,,,,,
0,4.16,2.74,,,,,,
0,1.35,3.44,,,,,,
0,2.04,2.74,,,,,,
3.125,1.35,,,,,,,
,4.89,,,,,,,
,3.44,,,,,,,
,1.35,,,,,,,